subject,sex,age,condition,manipcheck,pity.target,envy.target,pityAD,pityC,envyAD,envyC
758,male,36,Attitude PityAD,Aptitude,6,6,7,NA,NA,NA
759,female,24,Aptitude PityAD,Attitude,7,1,1,NA,NA,NA
760,male,35,Attitude EnvyAD,Attitude,5,4,NA,NA,2,NA
761,male,21,Aptitude PityC,Aptitude,5,6,NA,3,NA,NA
762,male,30,Aptitude PityC,Aptitude,5,7,NA,1,NA,NA
763,male,30,Aptitude EnvyAD,Aptitude,1,6,NA,NA,5,NA
764,male,33,Attitude PityAD,Attitude,6,1,4,NA,NA,NA
765,female,29,Aptitude EnvyC,Attitude,6,5,NA,NA,NA,2
766,male,48,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,2
767,male,37,Aptitude PityAD,Aptitude,5,6,3,NA,NA,NA
768,male,43,Aptitude Baseline,Aptitude,4,6,NA,NA,NA,NA
769,male,32,Aptitude PityAD,Aptitude,4,7,4,NA,NA,NA
770,male,25,Attitude Baseline,Attitude,6,6,NA,NA,NA,NA
771,male,26,Attitude PityC,Aptitude,5,7,NA,1,NA,NA
772,male,20,Aptitude Baseline,Aptitude,7,5,NA,NA,NA,NA
773,female,22,Attitude PityC,Aptitude,3,6,NA,2,NA,NA
774,male,35,Attitude EnvyC,Attitude,7,7,NA,NA,NA,2
775,female,29,Aptitude PityC,Aptitude,6,5,NA,5,NA,NA
776,female,25,Attitude PityAD,Attitude,4,5,5,NA,NA,NA
777,male,33,Aptitude EnvyC,Aptitude,2,5,NA,NA,NA,7
778,female,34,Aptitude EnvyAD,Aptitude,6,7,NA,NA,6,NA
779,male,49,Aptitude PityC,Aptitude,5,7,NA,3,NA,NA
780,male,24,Attitude Baseline,Aptitude,4,5,NA,NA,NA,NA
781,male,39,Attitude EnvyAD,Attitude,6,5,NA,NA,4,NA
782,male,28,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
783,female,27,Attitude PityC,Attitude,5,4,NA,7,NA,NA
784,male,27,Aptitude PityAD,Aptitude,4,5,3,NA,NA,NA
785,female,23,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
786,male,39,Attitude EnvyAD,Attitude,7,1,NA,NA,1,NA
787,male,34,Aptitude EnvyAD,Aptitude,6,7,NA,NA,7,NA
788,male,30,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
789,female,25,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,2
790,female,24,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,5
791,female,29,Attitude EnvyAD,Aptitude,3,5,NA,NA,5,NA
792,male,44,Attitude PityAD,Aptitude,6,7,5,NA,NA,NA
793,female,58,Aptitude PityAD,Aptitude,5,7,4,NA,NA,NA
794,male,27,Attitude EnvyC,Attitude,6,5,NA,NA,NA,1
795,male,25,Attitude PityC,Attitude,6,2,NA,7,NA,NA
796,female,31,Attitude EnvyC,Attitude,6,5,NA,NA,NA,1
797,female,24,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
798,male,32,Aptitude EnvyAD,Aptitude,4,7,NA,NA,6,NA
799,male,35,Aptitude Baseline,Aptitude,4,6,NA,NA,NA,NA
800,male,23,Aptitude PityC,Aptitude,7,5,NA,2,NA,NA
801,male,37,Attitude PityAD,Aptitude,3,6,3,NA,NA,NA
802,male,27,Aptitude EnvyAD,Attitude,7,6,NA,NA,2,NA
803,male,18,Aptitude PityAD,Aptitude,5,7,5,NA,NA,NA
804,male,30,Attitude EnvyC,Aptitude,3,6,NA,NA,NA,6
805,female,23,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
806,male,25,Attitude Baseline,Aptitude,5,7,NA,NA,NA,NA
807,male,27,Attitude PityC,Attitude,5,4,NA,2,NA,NA
808,male,41,Aptitude EnvyC,Aptitude,4,6,NA,NA,NA,3
809,female,64,Aptitude EnvyC,Aptitude,7,4,NA,NA,NA,2
810,male,25,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
811,male,26,Attitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
812,male,20,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
813,female,31,Attitude EnvyAD,Aptitude,7,6,NA,NA,5,NA
814,female,22,Attitude PityAD,Aptitude,5,6,3,NA,NA,NA
815,female,29,Attitude PityC,Aptitude,7,5,NA,4,NA,NA
816,male,28,Aptitude PityAD,Aptitude,5,5,2,NA,NA,NA
817,male,26,Aptitude EnvyAD,Attitude,4,6,NA,NA,6,NA
818,male,21,Attitude EnvyC,Aptitude,5,6,NA,NA,NA,2
819,female,31,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
820,male,53,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
821,female,24,Aptitude PityC,Aptitude,6,5,NA,3,NA,NA
822,male,21,Aptitude PityAD,Attitude,7,3,5,NA,NA,NA
823,male,26,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
824,male,31,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
825,female,34,Attitude EnvyC,Aptitude,7,6,NA,NA,NA,2
826,female,28,Aptitude EnvyAD,Aptitude,4,6,NA,NA,6,NA
827,male,39,Attitude PityC,Attitude,6,3,NA,2,NA,NA
828,male,40,Aptitude EnvyC,Attitude,7,2,NA,NA,NA,3
829,male,25,Aptitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
830,male,24,Attitude EnvyAD,Attitude,6,5,NA,NA,3,NA
831,female,42,Aptitude PityAD,Aptitude,5,7,5,NA,NA,NA
832,male,59,Attitude PityC,Attitude,6,2,NA,2,NA,NA
833,female,40,Aptitude EnvyC,Aptitude,7,6,NA,NA,NA,2
834,female,38,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
835,male,29,Aptitude PityC,Attitude,7,7,NA,2,NA,NA
836,male,40,Attitude EnvyAD,Attitude,7,2,NA,NA,2,NA
837,male,29,Attitude PityAD,Attitude,5,7,5,NA,NA,NA
838,female,35,Attitude PityC,Aptitude,7,2,NA,5,NA,NA
839,male,30,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
840,female,34,Attitude EnvyAD,Aptitude,5,6,NA,NA,3,NA
841,female,52,Aptitude Baseline,Attitude,5,5,NA,NA,NA,NA
842,male,29,Attitude PityAD,Aptitude,6,7,6,NA,NA,NA
843,female,74,Aptitude EnvyC,Aptitude,7,7,NA,NA,NA,6
844,female,36,Attitude Baseline,Attitude,6,6,NA,NA,NA,NA
845,female,39,Aptitude PityC,Aptitude,5,7,NA,2,NA,NA
846,male,27,Aptitude PityAD,Aptitude,5,7,3,NA,NA,NA
847,male,21,Attitude EnvyC,Attitude,3,6,NA,NA,NA,2
848,female,35,Aptitude EnvyAD,Attitude,6,5,NA,NA,5,NA
849,female,22,Attitude PityAD,Attitude,7,4,6,NA,NA,NA
850,female,28,Attitude EnvyC,Attitude,3,5,NA,NA,NA,2
851,male,35,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,6
852,female,40,Attitude EnvyAD,Attitude,6,4,NA,NA,3,NA
853,female,37,Aptitude EnvyAD,Aptitude,3,7,NA,NA,6,NA
854,female,37,Aptitude PityAD,Aptitude,5,5,3,NA,NA,NA
855,male,49,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
856,male,30,Aptitude PityC,Aptitude,6,6,NA,2,NA,NA
857,male,19,Attitude PityC,Attitude,6,6,NA,5,NA,NA
858,male,27,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
859,male,26,Attitude EnvyAD,Attitude,6,5,NA,NA,5,NA
860,female,46,Aptitude EnvyC,Aptitude,4,7,NA,NA,NA,5
861,female,24,Aptitude PityAD,Aptitude,5,4,4,NA,NA,NA
862,female,45,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
863,male,31,Aptitude EnvyAD,Aptitude,2,6,NA,NA,6,NA
864,female,38,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
865,female,24,Attitude PityAD,Aptitude,6,5,4,NA,NA,NA
866,male,24,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
867,male,21,Attitude EnvyC,Aptitude,2,7,NA,NA,NA,3
868,male,34,Attitude PityC,Attitude,6,5,NA,2,NA,NA
869,female,26,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,1
870,female,32,Attitude PityAD,Attitude,7,2,5,NA,NA,NA
871,male,51,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
872,female,28,Attitude EnvyC,Aptitude,7,6,NA,NA,NA,5
873,male,32,Attitude PityC,Attitude,6,3,NA,5,NA,NA
874,male,47,Attitude EnvyAD,Attitude,6,3,NA,NA,3,NA
875,female,30,Aptitude PityAD,Aptitude,7,3,5,NA,NA,NA
876,male,21,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,5
877,female,29,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
878,female,31,Attitude PityAD,Aptitude,3,7,3,NA,NA,NA
879,female,42,Aptitude EnvyAD,Aptitude,5,7,NA,NA,5,NA
880,male,24,Attitude PityC,Attitude,7,5,NA,3,NA,NA
881,male,24,Aptitude PityC,Attitude,5,6,NA,1,NA,NA
882,male,29,Aptitude PityAD,Aptitude,3,6,2,NA,NA,NA
883,male,68,Attitude EnvyAD,Attitude,6,5,NA,NA,4,NA
884,male,30,Attitude EnvyAD,Attitude,6,6,NA,NA,7,NA
885,female,24,Attitude PityAD,Attitude,3,3,6,NA,NA,NA
886,female,35,Attitude EnvyC,Aptitude,3,6,NA,NA,NA,5
887,female,31,Aptitude PityC,Aptitude,6,7,NA,1,NA,NA
888,male,30,Aptitude EnvyC,Aptitude,6,5,NA,NA,NA,1
889,female,39,Aptitude PityAD,Attitude,5,3,5,NA,NA,NA
890,male,19,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
891,male,21,Attitude PityC,Attitude,6,7,NA,1,NA,NA
892,female,50,Aptitude EnvyAD,Aptitude,6,6,NA,NA,7,NA
893,female,34,Aptitude PityAD,Attitude,6,4,3,NA,NA,NA
894,female,59,Aptitude Baseline,Aptitude,3,5,NA,NA,NA,NA
895,female,60,Aptitude EnvyC,Attitude,6,6,NA,NA,NA,7
896,male,31,Aptitude PityC,Aptitude,6,6,NA,2,NA,NA
897,female,38,Aptitude Baseline,Aptitude,2,6,NA,NA,NA,NA
898,female,63,Attitude PityAD,Attitude,6,7,1,NA,NA,NA
899,female,48,Aptitude PityAD,Aptitude,5,6,5,NA,NA,NA
900,female,46,Aptitude EnvyAD,Attitude,7,3,NA,NA,1,NA
901,male,37,Attitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
902,male,28,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,1
903,male,33,Attitude PityAD,Attitude,6,1,3,NA,NA,NA
904,female,39,Attitude PityC,Aptitude,5,6,NA,1,NA,NA
905,female,56,Attitude Baseline,Attitude,5,3,NA,NA,NA,NA
906,male,20,Aptitude PityC,Aptitude,7,6,NA,2,NA,NA
907,female,31,Attitude Baseline,Aptitude,4,7,NA,NA,NA,NA
908,female,27,Attitude PityAD,Attitude,6,2,6,NA,NA,NA
909,male,30,Aptitude EnvyAD,Aptitude,6,5,NA,NA,5,NA
910,male,34,Attitude EnvyC,Aptitude,5,6,NA,NA,NA,3
911,female,35,Attitude EnvyAD,Aptitude,3,7,NA,NA,4,NA
912,male,31,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,3
913,female,55,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,3
914,male,27,Attitude PityC,Attitude,6,3,NA,5,NA,NA
915,male,26,Aptitude PityC,Aptitude,6,6,NA,5,NA,NA
916,male,30,Attitude EnvyC,Aptitude,2,7,NA,NA,NA,3
917,female,29,Attitude PityAD,Attitude,7,4,6,NA,NA,NA
918,female,39,Aptitude PityAD,Attitude,6,5,3,NA,NA,NA
919,male,26,Aptitude Baseline,Aptitude,4,6,NA,NA,NA,NA
920,male,37,Attitude Baseline,Attitude,6,6,NA,NA,NA,NA
921,female,56,Aptitude EnvyAD,Aptitude,3,7,NA,NA,6,NA
922,male,28,Aptitude PityC,Attitude,6,1,NA,3,NA,NA
923,male,39,Attitude EnvyAD,Attitude,5,5,NA,NA,3,NA
924,female,25,Attitude EnvyC,Aptitude,5,6,NA,NA,NA,2
925,female,27,Attitude PityC,Aptitude,5,7,NA,2,NA,NA
926,male,27,Aptitude EnvyC,Aptitude,7,5,NA,NA,NA,6
927,male,49,Aptitude PityC,Aptitude,6,6,NA,3,NA,NA
928,female,26,Attitude EnvyAD,Attitude,7,3,NA,NA,2,NA
929,male,36,Aptitude Baseline,Attitude,6,6,NA,NA,NA,NA
930,female,43,Attitude PityAD,Aptitude,7,5,7,NA,NA,NA
931,female,27,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
932,male,35,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
933,other,22,Aptitude EnvyAD,Aptitude,3,6,NA,NA,7,NA
934,male,30,Aptitude PityC,Aptitude,7,5,NA,3,NA,NA
935,male,37,Attitude PityAD,Aptitude,5,6,2,NA,NA,NA
936,female,24,Aptitude PityAD,Aptitude,4,6,3,NA,NA,NA
937,male,26,Aptitude EnvyC,Aptitude,1,7,NA,NA,NA,3
938,female,19,Aptitude EnvyAD,Attitude,6,6,NA,NA,5,NA
939,female,23,Attitude PityC,Aptitude,5,6,NA,3,NA,NA
940,male,19,Attitude Baseline,Aptitude,3,6,NA,NA,NA,NA
941,male,25,Attitude EnvyC,Aptitude,4,5,NA,NA,NA,6
942,female,27,Attitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
943,female,33,Attitude EnvyC,Aptitude,6,6,NA,NA,NA,6
944,female,27,Attitude PityAD,Attitude,6,5,6,NA,NA,NA
945,female,38,Aptitude EnvyC,Aptitude,4,5,NA,NA,NA,7
946,male,23,Aptitude PityC,Attitude,6,7,NA,3,NA,NA
947,female,40,Aptitude PityAD,Aptitude,7,5,2,NA,NA,NA
948,female,35,Aptitude PityAD,Aptitude,5,7,5,NA,NA,NA
949,male,21,Aptitude EnvyAD,Aptitude,2,7,NA,NA,3,NA
950,female,29,Attitude EnvyAD,Aptitude,5,7,NA,NA,5,NA
951,female,36,Attitude EnvyAD,Aptitude,5,6,NA,NA,3,NA
952,male,26,Attitude Baseline,Aptitude,7,6,NA,NA,NA,NA
953,female,23,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
954,female,28,Attitude PityAD,Attitude,6,5,3,NA,NA,NA
955,female,37,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
956,female,27,Attitude PityC,Attitude,5,4,NA,6,NA,NA
957,male,28,Aptitude EnvyAD,Aptitude,6,6,NA,NA,7,NA
958,female,23,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
959,female,36,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
960,female,30,Aptitude PityAD,Aptitude,4,6,4,NA,NA,NA
961,female,30,Attitude EnvyC,Aptitude,3,7,NA,NA,NA,3
962,male,28,Attitude EnvyAD,Aptitude,4,6,NA,NA,6,NA
963,female,18,Attitude EnvyC,Attitude,6,6,NA,NA,NA,2
964,male,52,Aptitude EnvyAD,Aptitude,3,2,NA,NA,2,NA
965,female,NA,Aptitude EnvyC,Aptitude,3,6,NA,NA,NA,4
966,male,30,Attitude PityC,Aptitude,5,7,NA,1,NA,NA
967,male,45,Aptitude EnvyC,Aptitude,1,7,NA,NA,NA,5
968,male,64,Attitude Baseline,Attitude,7,6,NA,NA,NA,NA
969,female,59,Aptitude PityC,Aptitude,6,6,NA,1,NA,NA
970,female,21,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
971,male,49,Aptitude PityAD,Attitude,5,6,3,NA,NA,NA
972,male,31,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
973,female,22,Attitude EnvyAD,Aptitude,4,7,NA,NA,6,NA
974,female,30,Attitude PityAD,Attitude,7,7,5,NA,NA,NA
975,female,38,Aptitude PityAD,Aptitude,6,5,2,NA,NA,NA
976,female,67,Attitude EnvyC,Aptitude,7,7,NA,NA,NA,6
977,female,27,Attitude PityAD,Attitude,6,5,3,NA,NA,NA
978,female,63,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,5
979,female,26,Attitude PityC,Aptitude,6,5,NA,3,NA,NA
980,male,43,Aptitude PityC,Attitude,6,6,NA,4,NA,NA
981,female,39,Aptitude Baseline,Aptitude,5,5,NA,NA,NA,NA
982,female,28,Attitude EnvyAD,Attitude,5,3,NA,NA,1,NA
983,male,35,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
984,male,29,Aptitude PityAD,Aptitude,5,7,5,NA,NA,NA
985,female,60,Aptitude Baseline,Aptitude,4,7,NA,NA,NA,NA
986,male,62,Attitude PityAD,Attitude,6,5,6,NA,NA,NA
987,female,27,Aptitude EnvyAD,Attitude,7,7,NA,NA,7,NA
988,male,25,Attitude PityC,Attitude,6,3,NA,7,NA,NA
989,male,30,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,3
990,male,26,Attitude EnvyC,Attitude,7,6,NA,NA,NA,5
991,male,26,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
992,male,23,Aptitude EnvyC,Aptitude,2,6,NA,NA,NA,5
993,male,45,Attitude Baseline,Attitude,5,4,NA,NA,NA,NA
994,female,39,Aptitude PityAD,Aptitude,3,5,3,NA,NA,NA
995,male,25,Aptitude EnvyAD,Aptitude,2,7,NA,NA,5,NA
996,male,40,Attitude EnvyC,Aptitude,4,4,NA,NA,NA,4
997,female,26,Attitude PityC,Aptitude,7,6,NA,2,NA,NA
998,female,32,Attitude EnvyAD,Aptitude,6,4,NA,NA,3,NA
999,female,18,Attitude PityAD,Attitude,7,5,3,NA,NA,NA
1000,male,35,Attitude EnvyC,Aptitude,3,5,NA,NA,NA,7
1001,male,20,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
1002,male,22,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
1003,female,33,Aptitude EnvyC,Attitude,6,5,NA,NA,NA,2
1004,male,42,Attitude PityC,Aptitude,5,7,NA,2,NA,NA
1005,male,35,Attitude EnvyAD,Aptitude,1,7,NA,NA,3,NA
1006,male,42,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
1007,male,28,Aptitude PityAD,Aptitude,2,7,2,NA,NA,NA
1008,female,28,Attitude Baseline,Aptitude,7,3,NA,NA,NA,NA
1009,female,41,Aptitude EnvyAD,Aptitude,5,7,NA,NA,2,NA
1010,female,41,Aptitude PityC,Aptitude,5,7,NA,2,NA,NA
1011,male,37,Aptitude PityC,Aptitude,3,7,NA,1,NA,NA
1012,male,19,Attitude PityC,Attitude,5,5,NA,3,NA,NA
1013,male,30,Attitude EnvyC,Attitude,5,6,NA,NA,NA,2
1014,male,28,Aptitude EnvyC,Aptitude,5,4,NA,NA,NA,6
1015,female,52,Aptitude PityAD,Attitude,7,7,6,NA,NA,NA
1016,female,32,Attitude PityAD,Aptitude,7,5,4,NA,NA,NA
1017,male,27,Attitude EnvyAD,Attitude,7,3,NA,NA,3,NA
1018,male,40,Aptitude Baseline,Aptitude,7,5,NA,NA,NA,NA
1019,male,32,Attitude PityAD,Attitude,6,2,5,NA,NA,NA
1020,male,26,Attitude Baseline,Aptitude,5,7,NA,NA,NA,NA
1021,female,18,Aptitude PityC,Attitude,4,3,NA,6,NA,NA
1022,male,26,Attitude EnvyC,Attitude,5,5,NA,NA,NA,2
1023,female,47,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
1024,female,19,Aptitude EnvyC,Attitude,5,7,NA,NA,NA,2
1025,female,58,Attitude EnvyAD,Attitude,5,7,NA,NA,6,NA
1026,female,29,Aptitude EnvyAD,Aptitude,4,7,NA,NA,6,NA
1027,male,44,Attitude PityAD,Attitude,6,3,6,NA,NA,NA
1028,male,24,Attitude PityC,Attitude,7,5,NA,5,NA,NA
1029,female,54,Attitude Baseline,Aptitude,7,5,NA,NA,NA,NA
1030,male,21,Aptitude Baseline,Aptitude,7,6,NA,NA,NA,NA
1031,female,30,Aptitude PityC,Aptitude,4,7,NA,2,NA,NA
1032,male,34,Aptitude PityAD,Aptitude,6,6,6,NA,NA,NA
1033,male,29,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
1034,male,26,Aptitude EnvyAD,Aptitude,5,6,NA,NA,3,NA
1035,male,20,Attitude EnvyAD,Attitude,6,4,NA,NA,3,NA
1036,male,36,Aptitude PityAD,Aptitude,3,7,2,NA,NA,NA
1037,female,22,Attitude EnvyC,Aptitude,6,6,NA,NA,NA,2
1038,male,24,Attitude EnvyC,Attitude,5,5,NA,NA,NA,2
1039,male,35,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
1040,female,36,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
1041,male,36,Attitude PityAD,Aptitude,5,7,5,NA,NA,NA
1042,female,35,Aptitude EnvyC,Aptitude,7,7,NA,NA,NA,5
1043,male,18,Attitude PityC,Aptitude,4,5,NA,2,NA,NA
1044,female,24,Aptitude EnvyAD,Aptitude,2,7,NA,NA,5,NA
1045,female,37,Attitude PityAD,Attitude,5,3,5,NA,NA,NA
1046,male,33,Attitude PityC,Aptitude,6,6,NA,2,NA,NA
1047,female,26,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
1048,male,25,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
1049,male,26,Attitude EnvyC,Attitude,7,3,NA,NA,NA,1
1050,male,53,Attitude EnvyAD,Attitude,7,2,NA,NA,2,NA
1051,male,19,Aptitude PityAD,Aptitude,7,4,4,NA,NA,NA
1052,female,27,Aptitude EnvyAD,Aptitude,3,5,NA,NA,7,NA
1053,male,24,Attitude EnvyAD,Attitude,5,4,NA,NA,3,NA
1054,male,33,Aptitude EnvyAD,Aptitude,5,6,NA,NA,5,NA
1055,male,41,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,1
1056,male,37,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,6
1057,female,46,Attitude PityC,Attitude,7,5,NA,3,NA,NA
1058,male,25,Aptitude PityC,Aptitude,3,7,NA,1,NA,NA
1059,male,28,Attitude EnvyAD,Attitude,7,4,NA,NA,1,NA
1060,female,26,Aptitude PityC,Attitude,6,6,NA,3,NA,NA
1061,male,24,Attitude EnvyC,Attitude,5,5,NA,NA,NA,2
1062,male,30,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
1063,female,55,Attitude PityC,Attitude,6,3,NA,5,NA,NA
1064,female,26,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
1065,male,28,Aptitude PityAD,Aptitude,6,7,6,NA,NA,NA
1066,female,63,Attitude PityAD,Attitude,7,5,3,NA,NA,NA
1067,female,22,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
1068,male,21,Attitude PityC,Aptitude,7,5,NA,3,NA,NA
1069,female,21,Aptitude EnvyC,Aptitude,3,6,NA,NA,NA,6
1070,male,23,Aptitude EnvyAD,Aptitude,3,6,NA,NA,1,NA
1071,male,34,Aptitude PityC,Aptitude,7,6,NA,1,NA,NA
1072,female,52,Aptitude PityAD,Attitude,5,7,5,NA,NA,NA
1073,male,34,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
1074,male,24,Attitude EnvyAD,Aptitude,6,5,NA,NA,2,NA
1075,male,27,Aptitude Baseline,Aptitude,7,5,NA,NA,NA,NA
1076,female,28,Aptitude PityC,Aptitude,4,7,NA,1,NA,NA
1077,male,44,Aptitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
1078,male,22,Aptitude Baseline,Attitude,4,6,NA,NA,NA,NA
1079,female,20,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,3
1080,female,29,Attitude PityAD,Attitude,6,3,7,NA,NA,NA
1081,male,30,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,1
1082,female,38,Aptitude PityAD,Aptitude,5,6,5,NA,NA,NA
1083,male,24,Attitude PityC,Attitude,7,5,NA,3,NA,NA
1084,female,37,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
1085,female,58,Attitude EnvyAD,Aptitude,7,5,NA,NA,6,NA
1086,male,44,Aptitude EnvyC,Attitude,5,3,NA,NA,NA,2
1087,male,22,Aptitude Baseline,Aptitude,3,5,NA,NA,NA,NA
1088,female,26,Aptitude PityAD,Aptitude,5,5,3,NA,NA,NA
1089,male,31,Attitude EnvyAD,Attitude,7,3,NA,NA,3,NA
1090,male,31,Attitude PityC,Attitude,6,5,NA,4,NA,NA
1091,male,23,Attitude PityAD,Attitude,6,6,5,NA,NA,NA
1092,female,33,Attitude Baseline,Aptitude,7,7,NA,NA,NA,NA
1093,female,31,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
1094,female,42,Aptitude EnvyAD,Aptitude,4,7,NA,NA,7,NA
1095,female,36,Aptitude PityC,Attitude,7,3,NA,2,NA,NA
1096,female,42,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
1097,male,31,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
1098,male,22,Attitude EnvyAD,Attitude,6,3,NA,NA,3,NA
1099,male,22,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
1100,male,NA,Aptitude PityC,Attitude,7,6,NA,6,NA,NA
1101,male,24,Attitude PityC,Aptitude,6,6,NA,1,NA,NA
1102,female,31,Aptitude PityAD,Aptitude,3,5,7,NA,NA,NA
1103,female,24,Aptitude EnvyC,Aptitude,2,6,NA,NA,NA,3
1104,male,24,Attitude PityC,Attitude,7,2,NA,3,NA,NA
1105,female,18,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
1106,female,33,Aptitude PityC,Aptitude,3,6,NA,1,NA,NA
1107,male,25,Attitude EnvyAD,Aptitude,5,7,NA,NA,7,NA
1108,male,33,Aptitude EnvyC,Aptitude,1,6,NA,NA,NA,7
1109,female,26,Attitude EnvyC,Aptitude,5,5,NA,NA,NA,2
1110,male,48,Attitude PityAD,Aptitude,3,6,2,NA,NA,NA
1111,male,23,Aptitude EnvyAD,Aptitude,7,5,NA,NA,6,NA
1112,female,39,Attitude Baseline,Attitude,5,7,NA,NA,NA,NA
1113,female,24,Attitude EnvyC,Aptitude,4,6,NA,NA,NA,3
1114,female,34,Attitude PityAD,Attitude,7,2,3,NA,NA,NA
1115,male,25,Attitude PityC,Attitude,6,3,NA,3,NA,NA
1116,female,30,Attitude Baseline,Attitude,7,2,NA,NA,NA,NA
1117,female,35,Aptitude EnvyAD,Aptitude,6,5,NA,NA,5,NA
1118,female,30,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
1119,male,20,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,5
1120,male,23,Attitude EnvyAD,Attitude,5,7,NA,NA,6,NA
1121,female,37,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,6
1122,male,27,Attitude PityC,Aptitude,5,6,NA,5,NA,NA
1123,male,39,Attitude EnvyAD,Attitude,7,2,NA,NA,2,NA
1124,female,28,Aptitude PityC,Aptitude,5,5,NA,3,NA,NA
1125,male,23,Attitude PityAD,Aptitude,4,5,3,NA,NA,NA
1126,male,37,Attitude EnvyC,Aptitude,7,7,NA,NA,NA,6
1127,male,24,Aptitude PityAD,Aptitude,6,7,2,NA,NA,NA
1128,male,37,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
1129,female,49,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
1130,male,23,Aptitude Baseline,Aptitude,5,5,NA,NA,NA,NA
1131,female,39,Attitude EnvyC,Attitude,6,5,NA,NA,NA,1
1132,female,22,Attitude PityC,Attitude,7,2,NA,5,NA,NA
1133,male,22,Aptitude Baseline,Aptitude,4,7,NA,NA,NA,NA
