subject,sex,age,condition,responseorder,h.pity.target,h.envy.target,h.pityAD,h.pityC,h.envyAD,h.envyC,w.pity.target,w.envy.target,w.pityAD,w.pityC,w.envyAD,w.envyC
487,male,29,EnvyAD,WTP,5,7,NA,NA,6,NA,3.482777369,3.918005077,NA,NA,3.438493166,NA
488,male,28,EnvyAD,Hire,6,7,NA,NA,2,NA,4.21597205,4.615120517,NA,NA,4.087487775,NA
489,female,43,Baseline,WTP,3,5,NA,NA,NA,NA,4.408303358,4.631714741,NA,NA,NA,NA
490,female,27,PityAD,WTP,3,7,1,NA,NA,NA,3.900962058,4.814214813,3.401530659,NA,NA,NA
491,male,31,EnvyC,Hire,5,7,NA,NA,NA,1,3.146305132,3.323596136,NA,NA,NA,2.975019232
492,female,27,Baseline,Hire,6,3,NA,NA,NA,NA,4.6929063,4.891175854,NA,NA,NA,NA
493,female,27,EnvyAD,Hire,5,5,NA,NA,6,NA,5.029326193,4.876265455,NA,NA,5.137561588,NA
494,male,24,PityC,Hire,5,7,NA,4,NA,NA,4.809660849,5.303304908,NA,4.401338946,NA,NA
495,female,30,Baseline,WTP,5,6,NA,NA,NA,NA,3.720378121,4.418479097,NA,NA,NA,NA
496,male,21,EnvyAD,WTP,5,7,NA,NA,3,NA,4.101651137,4.252771799,NA,NA,4.49367981,NA
497,female,33,EnvyC,Hire,7,6,NA,NA,NA,3,3.664330581,3.86030857,NA,NA,NA,3.003204288
498,female,26,Baseline,Hire,3,7,NA,NA,NA,NA,2.768204124,3.438493166,NA,NA,NA,NA
499,female,49,EnvyC,WTP,5,7,NA,NA,NA,1,2.931193752,3.671478939,NA,NA,NA,2.410542234
500,female,34,PityAD,WTP,5,6,3,NA,NA,NA,4.669364898,4.960674445,4.082777926,NA,NA,NA
501,male,27,PityAD,Hire,5,7,2,NA,NA,NA,3.353756307,3.685624161,2.750470917,NA,NA,NA
502,male,59,PityAD,WTP,2,6,1,NA,NA,NA,1.891604804,3.134189017,2.012232792,NA,NA,NA
503,male,31,EnvyAD,WTP,2,7,NA,NA,6,NA,3.678576561,4.645351976,NA,NA,4.380400313,NA
504,female,46,PityC,WTP,7,6,NA,1,NA,NA,3.685624161,3.685624161,NA,2.18492705,NA,NA
505,female,52,PityC,Hire,4,5,NA,3,NA,NA,4.164803026,4.408303358,NA,3.811760583,NA,NA
506,female,32,EnvyAD,Hire,3,6,NA,NA,6,NA,3.657130756,4.21597205,NA,NA,4.087487775,NA
507,male,48,EnvyC,WTP,6,6,NA,NA,NA,3,3.678576561,3.657130756,NA,NA,NA,2.869034621
508,female,22,PityC,WTP,5,5,NA,3,NA,NA,3.205182498,3.227637331,NA,3.057767664,NA,NA
509,female,36,EnvyC,Hire,6,6,NA,NA,NA,1,3.185112195,3.449987546,NA,NA,NA,2.648300197
510,male,33,PityC,Hire,7,6,NA,3,NA,NA,4.236567243,3.634951112,NA,3.499835352,NA,NA
511,male,43,EnvyAD,WTP,3,5,NA,NA,4,NA,4.088829382,4.466367783,NA,NA,3.672750072,NA
512,male,28,EnvyC,Hire,7,5,NA,NA,NA,1,2.931193752,2.459588842,NA,NA,NA,1.264126727
513,male,30,PityAD,Hire,5,7,2,NA,NA,NA,3.69262244,3.664330581,2.915606229,NA,NA,NA
514,female,36,Baseline,WTP,5,5,NA,NA,NA,NA,3.533394551,3.21647294,NA,NA,NA,NA
515,female,40,Baseline,Hire,5,7,NA,NA,NA,NA,4.645351976,5.216998845,NA,NA,NA,NA
516,male,32,EnvyC,WTP,5,6,NA,NA,NA,5,3.92907676,4.268577942,NA,NA,NA,4.390986376
517,female,24,Baseline,Hire,3,5,NA,NA,NA,NA,2.750470917,3.657130756,NA,NA,NA,NA
518,female,34,EnvyAD,Hire,6,4,NA,NA,4,NA,2.884800713,2.435366204,NA,NA,2.529720666,NA
519,female,43,Baseline,WTP,3,5,NA,NA,NA,NA,3.533394551,3.685624161,NA,NA,NA,NA
520,male,41,Baseline,WTP,3,6,NA,NA,NA,NA,3.170525564,3.429460847,NA,NA,NA,NA
521,female,34,PityAD,WTP,6,6,6,NA,NA,NA,3.549617387,3.657130756,3.353756307,NA,NA,NA
522,male,27,PityC,WTP,4,6,NA,2,NA,NA,2.551786179,3.59703825,NA,2.275213896,NA,NA
523,female,45,PityC,WTP,4,7,NA,1,NA,NA,3.2820384,3.465423354,NA,2.435366204,NA,NA
524,female,22,PityAD,Hire,3,7,2,NA,NA,NA,4.397899984,4.628984364,4.120012309,NA,NA,NA
525,male,23,PityAD,WTP,4,7,3,NA,NA,NA,3.678576561,4.397899984,3.303216973,NA,NA,NA
526,female,38,Baseline,Hire,7,2,NA,NA,NA,NA,2.768204124,2.048982334,NA,NA,NA,NA
527,male,55,PityC,Hire,6,5,NA,2,NA,NA,3.465423354,3.401530659,NA,2.303584593,NA,NA
528,female,25,EnvyC,WTP,5,6,NA,NA,NA,5,4.438643235,4.690338198,NA,NA,NA,4.397899984
529,male,40,EnvyAD,Hire,3,6,NA,NA,5,NA,4.101651137,4.944780351,NA,NA,4.639958011,NA
530,female,27,EnvyAD,WTP,3,7,NA,NA,2,NA,3.392156637,3.565864003,NA,NA,2.915606229,NA
531,female,45,EnvyAD,Hire,6,5,NA,NA,5,NA,3.533394551,3.474138006,NA,NA,3.392156637,NA
532,female,53,PityAD,WTP,4,5,4,NA,NA,NA,4.101651137,4.268577942,4.092175545,NA,NA,NA
533,male,30,EnvyAD,WTP,5,5,NA,NA,5,NA,3.85756682,3.910221383,NA,NA,3.966889907,NA
534,male,23,EnvyC,Hire,4,6,NA,NA,NA,2,3.017493765,3.447444633,NA,NA,NA,3.38269391
535,male,42,Baseline,Hire,6,7,NA,NA,NA,NA,3.889572877,4.003690194,NA,NA,NA,NA
536,male,33,EnvyC,WTP,2,6,NA,NA,NA,3,3.956422593,4.432006567,NA,NA,NA,4.631714741
537,male,25,PityAD,Hire,6,7,6,NA,NA,NA,2.656054906,2.785628336,2.551786179,NA,NA,NA
538,female,32,EnvyC,Hire,5,6,NA,NA,NA,3,2.358965426,3.109507288,NA,NA,NA,2.410542234
539,female,41,PityC,Hire,5,7,NA,2,NA,NA,4.096841442,4.713306845,NA,2.960623096,NA,NA
540,female,32,Baseline,WTP,3,7,NA,NA,NA,NA,0.879626748,2.152924318,NA,NA,NA,NA
541,male,29,EnvyC,WTP,5,7,NA,NA,NA,1,3.429460847,3.799078246,NA,NA,NA,3.363495514
542,male,28,Baseline,WTP,3,6,NA,NA,NA,NA,3.836221292,4.101651137,NA,NA,NA,NA
543,male,19,Baseline,Hire,5,7,NA,NA,NA,NA,3.923556241,4.264649767,NA,NA,NA,NA
544,female,33,EnvyAD,WTP,5,5,NA,NA,5,NA,4.623501143,4.628984364,NA,NA,4.626246512,NA
545,male,30,EnvyC,Hire,3,6,NA,NA,NA,3,4.628984364,4.970507503,NA,NA,NA,4.805086051
546,male,38,PityAD,WTP,4,6,2,NA,NA,NA,4.397899984,4.809660849,3.699819394,NA,NA,NA
547,male,31,PityC,WTP,5,6,NA,2,NA,NA,3.883829271,4.620649757,NA,2.084429083,NA,NA
548,female,47,PityAD,WTP,5,6,5,NA,NA,NA,3.044522438,2.946016681,2.960623096,NA,NA,NA
549,female,19,PityC,Hire,3,6,NA,2,NA,NA,3.411147713,3.951051392,NA,2.385086315,NA,NA
550,female,34,PityC,Hire,6,5,NA,3,NA,NA,3.482777369,2.946016681,NA,2.385086315,NA,NA
551,female,26,EnvyAD,WTP,5,7,NA,NA,5,NA,3.228033763,3.713572067,NA,NA,3.447444633,NA
552,male,22,PityAD,Hire,7,3,5,NA,NA,NA,3.24998682,3.429460847,2.931193752,NA,NA,NA
553,female,59,PityC,WTP,6,5,NA,2,NA,NA,4.133725519,4.620649757,NA,3.193763124,NA,NA
554,male,30,Baseline,Hire,2,6,NA,NA,NA,NA,3.725934362,4.354783898,NA,NA,NA,NA
555,male,,Baseline,WTP,4,4,NA,NA,NA,NA,3.671478939,3.740760076,NA,NA,NA,NA
556,male,34,EnvyAD,Hire,4,4,NA,NA,4,NA,3.687127921,3.755369195,NA,NA,3.781458635,NA
557,male,38,PityC,WTP,6,6,NA,3,NA,NA,4.264649767,4.623501143,NA,4.096841442,NA,NA
558,female,40,EnvyAD,Hire,7,5,NA,NA,3,NA,5.303304908,5.215479088,NA,NA,5.218516296,NA
559,male,32,EnvyC,WTP,5,5,NA,NA,NA,4,3.096934154,3.271468275,NA,NA,NA,2.551786179
560,male,27,PityAD,Hire,6,6,1,NA,NA,NA,3.017493765,3.420346201,2.529720666,NA,NA,NA
561,male,20,Baseline,WTP,3,7,NA,NA,NA,NA,3.988243031,4.284275979,NA,NA,NA,NA
562,female,38,PityAD,Hire,5,6,6,NA,NA,NA,3.549617387,4.268577942,2.836736542,NA,NA,NA
563,male,37,Baseline,Hire,6,5,NA,NA,NA,NA,3.438493166,2.975019232,NA,NA,NA,NA
564,male,26,PityC,WTP,5,5,NA,5,NA,NA,3.363495514,2.410542234,NA,1.848454813,NA,NA
565,male,27,EnvyC,WTP,5,5,NA,NA,NA,2,3.967079211,4.314817885,NA,NA,NA,4.096841442
566,male,25,EnvyAD,Hire,5,7,NA,NA,6,NA,3.612538221,3.734091797,NA,NA,3.491342732,NA
567,female,58,PityAD,WTP,7,7,6,NA,NA,NA,2.960623096,3.38269391,2.303584593,NA,NA,NA
568,female,42,PityC,WTP,5,5,NA,3,NA,NA,4.637153232,4.73584751,NA,4.092175545,NA,NA
569,female,22,PityC,Hire,7,7,NA,3,NA,NA,4.554718642,5.001325425,NA,2.507157259,NA,NA
570,female,33,EnvyAD,Hire,7,4,NA,NA,3,NA,3.961765097,3.589335324,NA,NA,3.2820384,NA
571,female,30,EnvyC,WTP,3,6,NA,NA,NA,3,3.146305132,3.699819394,NA,NA,NA,3.429460847
572,female,21,Baseline,Hire,4,6,NA,NA,NA,NA,2.215937286,2.215937286,NA,NA,NA,NA
573,female,54,Baseline,WTP,6,7,NA,NA,NA,NA,4.962634818,5.216998845,NA,NA,NA,NA
574,female,38,PityAD,Hire,3,7,3,NA,NA,NA,4.390986376,4.966613742,3.685624161,NA,NA,NA
575,female,39,PityAD,WTP,3,5,3,NA,NA,NA,3.333632062,3.866188469,2.573375298,NA,NA,NA
576,male,27,Baseline,Hire,5,7,NA,NA,NA,NA,3.889572877,4.362588941,NA,NA,NA,NA
577,male,26,EnvyC,WTP,6,7,NA,NA,NA,6,2.884800713,3.59703825,NA,NA,NA,3.420346201
578,female,43,PityAD,Hire,7,4,5,NA,NA,NA,3.685624161,3.671478939,3.706719372,NA,NA,NA
579,female,32,EnvyC,Hire,5,6,NA,NA,NA,2,5.149063013,5.239681391,NA,NA,NA,5.297667155
580,male,22,EnvyAD,Hire,6,7,NA,NA,2,NA,4.316153891,4.683241721,NA,NA,4.467056884,NA
581,female,47,EnvyC,Hire,5,5,NA,NA,NA,3,3.256942026,3.738145695,NA,NA,NA,3.650917948
582,female,45,PityAD,WTP,5,6,4,NA,NA,NA,3.044522438,3.121924299,3.017493765,NA,NA,NA
583,female,23,PityC,Hire,6,5,NA,2,NA,NA,3.760502198,3.508256454,NA,2.931193752,NA,NA
584,male,29,PityC,WTP,5,6,NA,2,NA,NA,3.456316681,3.671478939,NA,2.900322089,NA,NA
585,male,24,Baseline,WTP,5,7,NA,NA,NA,NA,4.601061758,4.809660849,NA,NA,NA,NA
586,female,28,EnvyAD,WTP,5,3,NA,NA,3,NA,3.482777369,3.956422593,NA,NA,3.38269391,NA
587,female,27,Baseline,Hire,5,7,NA,NA,NA,NA,3.923556241,4.087487775,NA,NA,NA,NA
588,male,30,PityC,WTP,4,5,NA,1,NA,NA,3.158701102,3.706719372,NA,2.275213896,NA,NA
589,female,40,Baseline,WTP,5,3,NA,NA,NA,NA,4.455160919,4.177919486,NA,NA,NA,NA
590,male,27,PityAD,Hire,5,7,3,NA,NA,NA,3.549617387,4.034063631,2.853015971,NA,NA,NA
591,male,42,EnvyC,WTP,5,5,NA,NA,NA,4,2.900322089,3.401530659,NA,NA,NA,2.18492705
592,female,33,PityAD,Hire,5,7,3,NA,NA,NA,3.612538221,3.918005077,2.960623096,NA,NA,NA
593,female,28,Baseline,WTP,5,6,NA,NA,NA,NA,4.626246512,4.960674445,NA,NA,NA,NA
594,male,,Baseline,Hire,3,7,NA,NA,NA,NA,4.115453525,4.401338946,NA,NA,NA,NA
595,male,63,PityAD,WTP,6,6,1,NA,NA,NA,4.960674445,5.095282768,3.678576561,NA,NA,NA
596,male,27,EnvyC,Hire,5,7,NA,NA,NA,1,4.98216723,5.303304908,NA,NA,NA,0
597,male,57,EnvyAD,Hire,2,6,NA,NA,3,NA,2.435366204,3.420346201,NA,NA,3.420346201,NA
598,female,34,PityAD,WTP,4,4,4,NA,NA,NA,2.152924318,2.18492705,2.215937286,NA,NA,NA
599,male,23,EnvyAD,Hire,7,6,NA,NA,5,NA,3.429460847,3.438493166,NA,NA,3.363495514,NA
600,female,41,EnvyC,WTP,1,2,NA,NA,NA,7,3.343568269,3.38269391,NA,NA,NA,3.824065727
601,male,22,Baseline,Hire,6,5,NA,NA,NA,NA,3.713572067,3.420346201,NA,NA,NA,NA
602,female,33,EnvyAD,WTP,4,6,NA,NA,3,NA,3.664330581,3.671478939,NA,NA,3.657130756,NA
603,male,24,EnvyAD,WTP,4,6,NA,NA,3,NA,4.94071342,5.112409386,NA,NA,4.637153232,NA
604,male,56,PityC,WTP,5,6,NA,3,NA,NA,3.353756307,3.706719372,NA,3.146305132,NA,NA
605,male,30,Baseline,WTP,4,6,NA,NA,NA,NA,3.918005077,4.288127958,NA,NA,NA,NA
606,female,39,PityAD,WTP,5,6,7,NA,NA,NA,4.823341396,3.678576561,3.482777369,NA,NA,NA
607,female,37,PityC,WTP,7,5,NA,1,NA,NA,3.713572067,3.343568269,NA,2.18492705,NA,NA
608,male,21,Baseline,WTP,6,5,NA,NA,NA,NA,4.082777926,3.883829271,NA,NA,NA,NA
609,female,23,PityC,Hire,6,7,NA,1,NA,NA,4.623501143,5.032983698,NA,2.246014742,NA,NA
610,male,33,PityAD,Hire,5,5,6,NA,NA,NA,2.694627181,2.573375298,2.946016681,NA,NA,NA
611,female,36,Baseline,Hire,6,3,NA,NA,NA,NA,3.720378121,3.706719372,NA,NA,NA,NA
612,male,31,EnvyC,WTP,4,7,NA,NA,NA,3,4.404888304,4.958710221,NA,NA,NA,2.946016681
613,male,50,EnvyC,Hire,3,5,NA,NA,NA,6,3.003204288,4.23251103,NA,NA,NA,4.421848129
614,male,26,EnvyAD,Hire,7,7,NA,NA,5,NA,4.499920775,4.634437684,NA,NA,4.186467851,NA
615,male,30,PityC,WTP,5,7,NA,1,NA,NA,3.664330581,4.390986376,NA,2.946016681,NA,NA
616,male,24,Baseline,Hire,6,5,NA,NA,NA,NA,3.699819394,3.69262244,NA,NA,NA,NA
617,female,39,PityC,Hire,6,6,NA,4,NA,NA,4.264649767,4.369827527,NA,3.525183361,NA,NA
618,female,21,EnvyAD,WTP,5,7,NA,NA,5,NA,2.819591576,3.228033763,NA,NA,2.900322089,NA
619,male,26,PityC,WTP,6,6,NA,1,NA,NA,3.998567607,4.224202549,NA,3.734091797,NA,NA
620,male,35,PityAD,WTP,5,6,6,NA,NA,NA,5.049407189,5.12586693,5.251540175,NA,NA,NA
621,male,24,PityAD,WTP,5,6,2,NA,NA,NA,1.706564623,2.332143895,1.178654996,NA,NA,NA
622,female,33,EnvyC,Hire,6,7,NA,NA,NA,3,3.313458467,3.508256454,NA,NA,NA,3.044522438
623,female,27,EnvyAD,WTP,6,7,NA,NA,5,NA,3.817932082,4.106273133,NA,NA,4.014037931,NA
624,female,25,EnvyC,WTP,7,6,NA,NA,NA,2,3.323596136,3.565864003,NA,NA,NA,2.869034621
625,male,64,PityC,Hire,5,6,NA,1,NA,NA,4.169142772,4.524719062,NA,2.529720666,NA,NA
626,male,26,PityC,Hire,2,6,NA,2,NA,NA,4.119362325,4.62153554,NA,3.684620397,NA,NA
627,male,29,EnvyAD,Hire,6,5,NA,NA,3,NA,3.499835352,2.975019232,NA,NA,2.869034621,NA
628,female,28,Baseline,WTP,6,5,NA,NA,NA,NA,3.482777369,3.343568269,NA,NA,NA,NA
629,male,31,Baseline,WTP,5,6,NA,NA,NA,NA,2.484072969,2.915606229,NA,NA,NA,NA
630,female,52,PityAD,Hire,4,5,2,NA,NA,NA,3.699819394,4.272490748,3.699819394,NA,NA,NA
631,female,35,EnvyAD,Hire,5,5,NA,NA,3,NA,2.931193752,2.915606229,NA,NA,2.946016681,NA
632,male,35,EnvyC,Hire,3,5,NA,NA,NA,6,4.092175545,4.518522379,NA,NA,NA,4.811940423
633,female,31,PityC,WTP,3,7,NA,2,NA,NA,2.459588842,3.516904189,NA,2.215937286,NA,NA
634,female,50,Baseline,Hire,3,7,NA,NA,NA,NA,3.158701102,3.355502422,NA,NA,NA,NA
635,prefer not to answer,33,PityAD,Hire,5,3,4,NA,NA,NA,4.394449155,3.854393893,4.661455997,NA,NA,NA
636,female,25,Baseline,WTP,5,7,NA,NA,NA,NA,2.915606229,2.915606229,NA,NA,NA,NA
637,male,24,EnvyAD,Hire,7,6,NA,NA,7,NA,3.699819394,3.456316681,NA,NA,3.671478939,NA
638,female,28,EnvyAD,WTP,3,7,NA,NA,5,NA,3.657130756,4.295787687,NA,NA,4.087487775,NA
639,male,39,PityAD,WTP,4,6,3,NA,NA,NA,3.900962058,4.628984364,2.884800713,NA,NA,NA
640,female,28,EnvyC,Hire,7,6,NA,NA,NA,2,5.267651952,4.73584751,NA,NA,NA,4.818828898
641,female,23,PityAD,Hire,5,6,5,NA,NA,NA,3.323596136,3.685624161,2.975019232,NA,NA,NA
642,prefer not to answer,32,PityC,Hire,4,4,NA,4,NA,NA,0,0,NA,0,NA,NA
643,male,23,PityC,WTP,7,5,NA,2,NA,NA,3.363495514,3.671478939,NA,2.435366204,NA,NA
644,male,23,Baseline,Hire,6,5,NA,NA,NA,NA,3.799078246,3.313458467,NA,NA,NA,NA
645,female,52,EnvyC,WTP,3,5,NA,NA,NA,6,3.699819394,3.912222985,NA,NA,NA,4.101651137
646,female,40,EnvyAD,WTP,6,6,NA,NA,6,NA,1.974081026,2.183801557,NA,NA,2.410542234,NA
647,female,30,PityAD,WTP,7,5,5,NA,NA,NA,4.110873864,2.802754137,3.678576561,NA,NA,NA
648,male,44,EnvyC,Hire,7,7,NA,NA,NA,3,3.429460847,2.869034621,NA,NA,NA,2.275213896
649,male,29,EnvyAD,Hire,6,5,NA,NA,2,NA,4.351825126,4.190714786,NA,NA,3.612538221,NA
650,female,44,PityC,Hire,5,6,NA,1,NA,NA,2.884800713,3.392156637,NA,2.215937286,NA,NA
651,female,28,Baseline,WTP,3,5,NA,NA,NA,NA,3.239070532,3.205182498,NA,NA,NA,NA
652,male,45,EnvyC,WTP,6,6,NA,NA,NA,5,2.785628336,2.989211057,NA,NA,NA,3.017004409
653,male,63,PityAD,Hire,6,4,5,NA,NA,NA,4.61234439,4.615120517,4.60386934,NA,NA,NA
654,female,56,PityC,WTP,4,5,NA,2,NA,NA,4.598246271,5.098768264,NA,2.946016681,NA,NA
655,female,33,EnvyAD,WTP,4,5,NA,NA,5,NA,4.013134507,4.232656178,NA,NA,4.196148762,NA
656,male,28,EnvyC,WTP,5,7,NA,NA,NA,5,4.299731392,3.753964701,NA,NA,NA,3.447444633
657,female,44,EnvyC,Hire,5,5,NA,NA,NA,3,3.373140784,3.541538866,NA,NA,NA,3.333632062
658,female,25,PityC,WTP,6,6,NA,5,NA,NA,3.64961874,3.612538221,NA,3.392156637,NA,NA
659,female,31,Baseline,Hire,6,5,NA,NA,NA,NA,3.363495514,3.657130756,NA,NA,NA,NA
660,female,28,PityAD,WTP,5,6,5,NA,NA,NA,3.64961874,3.766997233,3.69262244,NA,NA,NA
661,male,22,EnvyAD,WTP,3,6,NA,NA,5,NA,3.323596136,3.499835352,NA,NA,3.420346201,NA
662,female,41,PityAD,WTP,5,4,5,NA,NA,NA,2.656054906,2.484072969,2.246014742,NA,NA,NA
663,male,46,Baseline,WTP,4,6,NA,NA,NA,NA,2.084429083,2.59450816,NA,NA,NA,NA
664,female,61,EnvyAD,Hire,7,6,NA,NA,5,NA,3.353756307,3.239070532,NA,NA,2.960623096,NA
665,female,22,PityAD,Hire,6,4,5,NA,NA,NA,2.946016681,2.884800713,2.975019232,NA,NA,NA
666,female,22,EnvyC,Hire,7,6,NA,NA,NA,6,3.753964701,3.699819394,NA,NA,NA,3.706719372
667,female,36,PityC,Hire,5,4,NA,2,NA,NA,NA,NA,NA,4.096841442,NA,NA
668,male,26,Baseline,Hire,5,6,NA,NA,NA,NA,3.664330581,4.404888304,NA,NA,NA,NA
669,female,29,PityAD,Hire,4,7,5,NA,NA,NA,4.397899984,4.81656499,4.101651137,NA,NA,NA
670,male,25,PityC,WTP,6,6,NA,1,NA,NA,4.64265863,4.623501143,NA,2.869034621,NA,NA
671,female,31,EnvyAD,WTP,4,6,NA,NA,4,NA,4.133725519,4.512396786,NA,NA,4.394449155,NA
672,female,56,EnvyC,WTP,7,6,NA,NA,NA,1,5.303304908,5.103882742,NA,NA,NA,4.120012309
673,female,31,PityC,Hire,5,3,NA,5,NA,NA,3.678576561,3.671478939,NA,3.685624161,NA,NA
674,male,28,EnvyAD,Hire,4,7,NA,NA,4,NA,4.631714741,4.61234439,NA,NA,4.626246512,NA
675,male,31,EnvyC,Hire,3,7,NA,NA,NA,3,4.082777926,4.314817885,NA,NA,NA,4.421848129
676,female,21,EnvyC,WTP,4,6,NA,NA,NA,3,2.048982334,2.275213896,NA,NA,NA,2.507157259
677,female,29,Baseline,WTP,5,3,NA,NA,NA,NA,4.06834276,2.884800713,NA,NA,NA,NA
678,male,25,PityC,Hire,5,6,NA,1,NA,NA,2.551786179,2.884800713,NA,2.18492705,NA,NA
679,female,30,EnvyAD,Hire,4,7,NA,NA,5,NA,1.597365331,2.960623096,NA,NA,2.410542234,NA
680,male,26,PityAD,WTP,4,5,4,NA,NA,NA,3.411147713,3.64961874,3.456316681,NA,NA,NA
681,male,28,Baseline,Hire,7,7,NA,NA,NA,NA,3.38269391,3.401530659,NA,NA,NA,NA
682,male,31,Baseline,WTP,7,7,NA,NA,NA,NA,4.480966583,4.311067546,NA,NA,NA,NA
683,female,25,PityAD,Hire,6,6,7,NA,NA,NA,4.101651137,4.120012309,4.623501143,NA,NA,NA
684,male,43,Baseline,Hire,4,7,NA,NA,NA,NA,2.819591576,3.713572067,NA,NA,NA,NA
685,male,21,EnvyAD,Hire,6,6,NA,NA,7,NA,3.627535824,3.604682295,NA,NA,3.664330581,NA
686,female,38,Baseline,Hire,5,6,NA,NA,NA,NA,4.960674445,5.218516296,NA,NA,NA,NA
687,other,27,Baseline,WTP,7,3,NA,NA,NA,NA,4.81656499,4.620649757,NA,NA,NA,NA
688,female,48,EnvyAD,WTP,3,6,NA,NA,6,NA,3.096934154,3.734091797,NA,NA,3.720378121,NA
689,male,41,EnvyC,WTP,5,5,NA,NA,NA,6,4.408303358,4.814214813,NA,NA,NA,4.639958011
690,male,39,PityAD,Hire,4,6,3,NA,NA,NA,2.884800713,3.303216973,2.768204124,NA,NA,NA
691,female,21,PityAD,WTP,4,6,4,NA,NA,NA,2.836736542,3.363495514,2.915606229,NA,NA,NA
692,male,45,PityC,WTP,3,6,NA,2,NA,NA,2.459588842,2.931193752,NA,2.275213896,NA,NA
693,female,33,EnvyAD,WTP,4,3,NA,NA,2,NA,1.891604804,3.239070532,NA,NA,2.694627181,NA
694,female,25,EnvyC,Hire,5,4,NA,NA,NA,3,3.533394551,2.884800713,NA,NA,NA,2.358965426
695,male,22,PityC,WTP,2,7,NA,1,NA,NA,2.869034621,3.401530659,NA,2.084429083,NA,NA
696,male,23,EnvyAD,WTP,5,6,NA,NA,3,NA,3.333632062,3.525183361,NA,NA,3.193763124,NA
697,male,29,EnvyAD,Hire,4,6,NA,NA,5,NA,2.675527009,2.785628336,NA,NA,2.636196097,NA
698,male,25,PityC,WTP,6,7,NA,3,NA,NA,3.260785228,3.678576561,NA,2.946016681,NA,NA
699,female,37,PityAD,WTP,4,5,3,NA,NA,NA,4.404888304,4.620649757,4.087487775,NA,NA,NA
700,female,23,PityAD,Hire,5,7,3,NA,NA,NA,3.889572877,4.634437684,2.975019232,NA,NA,NA
701,female,26,PityC,Hire,5,7,NA,1,NA,NA,3.353756307,3.713572067,NA,2.931193752,NA,NA
702,male,31,Baseline,Hire,5,7,NA,NA,NA,NA,3.634951112,3.59703825,NA,NA,NA,NA
703,female,37,PityAD,Hire,6,5,3,NA,NA,NA,4.096841442,4.401338946,3.429460847,NA,NA,NA
704,female,45,EnvyAD,Hire,5,6,NA,NA,3,NA,2.303584593,3.18221184,NA,NA,2.385086315,NA
705,male,34,EnvyC,Hire,3,7,NA,NA,NA,4,4.106273133,4.620649757,NA,NA,NA,4.394449155
706,female,41,EnvyC,Hire,7,6,NA,NA,NA,2,3.842244111,3.906608373,NA,NA,NA,3.727138166
707,female,23,Baseline,WTP,4,5,NA,NA,NA,NA,4.49054466,4.809660849,NA,NA,NA,NA
708,male,40,Baseline,Hire,5,6,NA,NA,NA,NA,3.69262244,3.69262244,NA,NA,NA,NA
709,male,21,EnvyAD,Hire,5,5,NA,NA,4,NA,4.617888958,4.058717385,NA,NA,4.169142772,NA
710,male,60,EnvyAD,WTP,3,5,NA,NA,4,NA,4.019082078,4.390862483,NA,NA,4.106273133,NA
711,female,21,EnvyC,Hire,5,6,NA,NA,NA,3,3.508256454,3.940027202,NA,NA,NA,2.869034621
712,male,28,PityC,WTP,5,7,NA,1,NA,NA,3.373140784,3.848444024,NA,2.900322089,NA,NA
713,male,37,EnvyC,WTP,4,5,NA,NA,NA,5,3.664330581,4.394449155,NA,NA,NA,4.623501143
714,male,25,PityAD,WTP,5,7,1,NA,NA,NA,3.057767664,3.401530659,2.59450816,NA,NA,NA
715,female,31,PityC,Hire,5,6,NA,2,NA,NA,3.313458467,3.353756307,NA,2.615934912,NA,NA
716,female,63,Baseline,WTP,6,6,NA,NA,NA,NA,4.620649757,4.805086051,NA,NA,NA,NA
717,female,54,PityAD,Hire,6,6,3,NA,NA,NA,2.946016681,2.884800713,2.084429083,NA,NA,NA
718,male,27,Baseline,Hire,4,7,NA,NA,NA,NA,3.031099417,3.465423354,NA,NA,NA,NA
719,female,24,EnvyAD,WTP,6,7,NA,NA,5,NA,3.638638238,3.32323584,NA,NA,3.32323584,NA
720,female,20,PityAD,WTP,6,7,5,NA,NA,NA,4.106273133,4.110873864,2.802754137,NA,NA,NA
721,female,62,PityC,WTP,5,6,NA,1,NA,NA,3.720378121,4.164803026,NA,0,NA,NA
722,male,29,Baseline,WTP,7,5,NA,NA,NA,NA,3.343568269,3.438493166,NA,NA,NA,NA
723,male,46,PityC,Hire,4,7,NA,1,NA,NA,2.915606229,2.946016681,NA,2.915606229,NA,NA
724,female,36,PityC,Hire,6,7,NA,1,NA,NA,2.900322089,3.2820384,NA,2.18492705,NA,NA
725,female,53,PityC,WTP,6,6,NA,2,NA,NA,5.218516296,5.227626626,NA,2.18492705,NA,NA
726,female,36,EnvyC,Hire,5,7,NA,NA,NA,5,3.906608373,3.906608373,NA,NA,NA,3.877845554
727,male,27,EnvyC,WTP,4,7,NA,NA,NA,6,4.411706789,4.805086051,NA,NA,NA,4.968562518
728,male,28,Baseline,Hire,4,6,NA,NA,NA,NA,4.06834276,4.628984364,NA,NA,NA,NA
729,male,23,Baseline,Hire,6,5,NA,NA,NA,NA,3.589335324,3.392156637,NA,NA,NA,NA
730,female,32,Baseline,WTP,4,5,NA,NA,NA,NA,4.120012309,4.617888958,NA,NA,NA,NA
